当前排名,代码,股票名称,最新价,涨跌额,涨跌幅,collected_at
69,SH605006,山东玻纤,25.4,1.8110199999999999,7.13,2026-06-26 15:13:11
70,SZ000066,中国长城,18.83,-1.5082829999999998,-8.01,2026-06-26 15:13:11
71,SH600909,华安证券,12.1,0.049609999999999994,0.41,2026-06-26 15:13:11
72,SH600186,莲花控股,14.4,-1.1073600000000001,-7.69,2026-06-26 15:13:11
73,SH603005,晶方科技,51.9,1.9722,3.8,2026-06-26 15:13:11
74,SH600183,生益科技,178.85,-7.97671,-4.46,2026-06-26 15:13:11
75,SZ002407,多氟多,41.74,-1.953432,-4.68,2026-06-26 15:13:11
76,SH603065,宿迁联盛,21.93,1.9605419999999998,8.94,2026-06-26 15:13:11
77,SH605366,宏柏新材,14.38,1.440876,10.02,2026-06-26 15:13:11
78,SH601899,XD紫金矿,25.0,-0.5275,-2.11,2026-06-26 15:13:11
79,SZ000657,中钨高新,100.6,-4.8388599999999995,-4.81,2026-06-26 15:13:11
80,SZ002208,合肥城建,16.8,1.3154400000000002,7.83,2026-06-26 15:13:11
81,SH600497,驰宏锌锗,12.64,0.33875200000000005,2.68,2026-06-26 15:13:11
82,SH603256,宏和科技,299.94,25.134972,8.38,2026-06-26 15:13:11
83,SZ002580,圣阳股份,22.75,-2.277275,-10.01,2026-06-26 15:13:11
84,SH603678,火炬电子,79.62,4.7612760000000005,5.98,2026-06-26 15:13:11
85,SH603002,宏昌电子,26.17,1.279713,4.89,2026-06-26 15:13:11
86,SZ002463,沪电股份,148.15,-6.533415,-4.41,2026-06-26 15:13:11
87,SZ300433,蓝思科技,56.1,0.38148000000000004,0.68,2026-06-26 15:13:11
88,SH603690,至纯科技,35.6,1.06088,2.98,2026-06-26 15:13:11
89,SZ300398,飞凯材料,60.9,4.55532,7.48,2026-06-26 15:13:11
90,SH601869,长飞光纤,541.53,-31.517046,-5.82,2026-06-26 15:13:11
91,SH600110,诺德股份,15.41,-0.351348,-2.28,2026-06-26 15:13:11
92,SZ002281,光迅科技,241.39,-18.538752,-7.68,2026-06-26 15:13:11
93,SZ002106,莱宝高科,15.62,1.5619999999999998,10.0,2026-06-26 15:13:11
94,SH600879,航天电子,20.2,1.3332,6.6,2026-06-26 15:13:11
95,SZ000620,盈新发展,3.42,0.340974,9.97,2026-06-26 15:13:11
96,SH603629,利通电子,187.09,-18.709,-10.0,2026-06-26 15:13:11
97,SZ002559,亚威股份,12.31,1.232231,10.01,2026-06-26 15:13:11
98,SZ300136,信维通信,118.83,2.13894,1.8,2026-06-26 15:13:11
99,SZ301308,江波龙,669.0,-8.2287,-1.23,2026-06-26 15:13:11
100,SH603938,三孚股份,76.65,7.665,10.0,2026-06-26 15:13:11
