stock_code,trade_date,main_net_inflow,sm_net_inflow,mid_net_inflow,lg_net_inflow,max_net_inflow
000001,2026-04-17,-174214997.0,58341492.0,115873507.0,-4991548.0,-169223449.0
000001,2026-04-20,2736136.0,12725295.0,-15461431.0,-10897315.0,13633451.0
000001,2026-04-21,-20689229.0,3522004.0,17167221.0,-105474914.0,84785685.0
000001,2026-04-22,-241248538.0,101254072.0,139994461.0,-62905540.0,-178342998.0
000001,2026-04-23,-22953449.0,11120561.0,11832889.0,-60394267.0,37440818.0
000001,2026-04-24,-5300112.0,-25426025.0,30726137.0,-25368441.0,20068329.0
000001,2026-04-27,-162283088.0,80954192.0,81328912.0,-86145216.0,-76137872.0
000001,2026-04-28,-269855552.0,233140224.0,36715328.0,-147633920.0,-122221632.0
000001,2026-04-29,-104717392.0,70264304.0,34453088.0,-78136224.0,-26581168.0
000001,2026-04-30,9232819.0,-58043232.0,48810400.0,-51538592.0,60771411.0
000001,2026-05-06,41053756.0,-80057088.0,39003328.0,37960464.0,3093292.0
000001,2026-05-07,65641937.0,-82764641.0,17122688.0,-33672086.0,99314023.0
000001,2026-05-08,-13409438.0,38102359.0,-24692912.0,115352492.0,-128761930.0
000001,2026-05-11,-72149200.0,50444704.0,21704512.0,-25792559.0,-46356641.0
000001,2026-05-12,-43002937.0,38105268.0,4897664.0,7006848.0,-50009785.0
000001,2026-05-13,-50536553.0,15111639.0,35424912.0,-45996061.0,-4540492.0
000001,2026-05-14,-135149512.0,62641256.0,72508252.0,-73240400.0,-61909112.0
000001,2026-05-15,-129979122.0,37069313.0,92909806.0,-44163720.0,-85815402.0
000001,2026-05-18,-100145683.0,48716606.0,51429080.0,41150451.0,-141296134.0
000001,2026-05-19,-41708781.0,-2893606.0,44602382.0,-55004772.0,13295991.0
000001,2026-05-20,-94839917.0,34394634.0,60445285.0,20158225.0,-114998142.0
000001,2026-05-21,-65197328.0,-13583265.0,78780580.0,6401824.0,-71599152.0
000001,2026-05-22,-33841069.0,-5208575.0,39049652.0,-69631632.0,35790563.0
000001,2026-05-25,-11189970.0,-20410629.0,31600599.0,-14632636.0,3442666.0
000001,2026-05-26,-34976777.0,-5847448.0,40824224.0,-39815508.0,4838731.0
